"","sp","genus","phylo_reg","state","Clutch_size","ecotype","SVL","HL","HW","FL","TL"
"Rana_bwana","Rana_bwana","Lithobates","AM","NEO",NA,"Stream-dwelling"," 94.60","31.70000","32.90000","42.80000","42.80000"
"Rana_catesbeiana","Rana_catesbeiana","Lithobates","AM","NAM","16750.0","Pond-dwelling","203.00",NA,"34.00000","48.20000","40.00000"
"Rana_chiricahuensis","Rana_chiricahuensis","Lithobates","AM","MEX","  892.0","Pond-dwelling","137.00","28.50000","28.00000",NA,"41.30000"
"Rana_clamitans","Rana_clamitans","Lithobates","AM","NAM"," 2882.5","Pond-dwelling","101.80",NA,"30.66667","39.33333","40.66667"
"Rana_dunni","Rana_dunni","Lithobates","AM","MEX",NA,"Stream-dwelling"," 97.00","30.90000","34.00000","52.10000","38.90000"
"Rana_grylio","Rana_grylio","Lithobates","AM","NAM"," 7504.0","Pond-dwelling","162.00",NA,"27.37500","37.50000","34.50000"
"Rana_heckscheri","Rana_heckscheri","Lithobates","AM","NAM"," 7000.0","Pond-dwelling","155.00",NA,"34.33333","40.33333","38.33333"
"Rana_juliani","Rana_juliani","Lithobates","AM","NEO",NA,"Stream-dwelling"," 70.00","26.70000","23.70000","35.30000","40.80000"
"Rana_magnaocularis","Rana_magnaocularis","Lithobates","AM","MEX",NA,"Pond-dwelling"," 63.50","21.00000","20.80000",NA,"33.50000"
"Rana_montezumae","Rana_montezumae","Lithobates","AM","MEX",NA,"Pond-dwelling","116.00",NA,"35.90000","55.50000","45.10000"
"Rana_neovolcanica","Rana_neovolcanica","Lithobates","AM","MEX",NA,"Pond-dwelling"," 71.40","24.50000","23.50000","42.50000","42.00000"
"Rana_okaloosae","Rana_okaloosae","Lithobates","AM","NAM",NA,"Pond-dwelling"," 49.00","17.50000","15.40000","23.00000",NA
"Rana_palmipes","Rana_palmipes","Lithobates","AM","NEO"," 3468.0","Terrestrial","116.40","35.70000","35.80000","49.20000","47.30000"
"Rana_palustris","Rana_palustris","Lithobates","AM","NAM"," 1616.0","Pond-dwelling"," 87.00","17.42000","17.41000","44.28000","30.91000"
"Rana_pipiens","Rana_pipiens","Lithobates","AM","NAM"," 5522.5","Pond-dwelling","111.00","18.26000","18.66000","50.65000","34.89000"
"Rana_pustulosa","Rana_pustulosa","Lithobates","AM","MEX",NA,"Stream-dwelling","104.33","25.38000","27.31000",NA,NA
"Rana_septentrionalis","Rana_septentrionalis","Lithobates","AM","NAM"," 1375.0","Pond-dwelling"," 76.00",NA,"23.00000","32.00000","29.00000"
"Rana_sevosa","Rana_sevosa","Lithobates","AM","NAM"," 3750.0","Terrestrial"," 77.95","28.50000","35.00000","60.00000","37.50000"
"Rana_sierramadrensis","Rana_sierramadrensis","Lithobates","AM","MEX",NA,"Stream-dwelling"," 99.00","28.50000","25.20000","55.00000","44.50000"
"Rana_spectabilis","Rana_spectabilis","Lithobates","AM","MEX",NA,"Terrestrial"," 67.00","21.10000","23.70000","36.70000","35.60000"
"Rana_sphenocephala","Rana_sphenocephala","Lithobates","AM","NAM"," 4750.0","Pond-dwelling","127.00","19.92000","18.09000","49.73000","33.60000"
"Rana_tarahumarae","Rana_tarahumarae","Lithobates","AM","MEX"," 2200.0","Pond-dwelling","114.00","20.95652","22.66522",NA,NA
"Rana_tlaloci","Rana_tlaloci","Lithobates","AM","MEX",NA,"Pond-dwelling"," 66.30","20.90000","23.50000","38.50000","39.10000"
"Rana_vaillanti","Rana_vaillanti","Lithobates","AM","NEO",NA,"Terrestrial","108.10","35.10000","34.00000","49.20000","49.80000"
"Rana_vibicaria","Rana_vibicaria","Lithobates","AM","NEO",NA,"Pond-dwelling"," 76.50","19.00000","20.00000",NA,"26.00000"
"Rana_warszewitschii","Rana_warszewitschii","Lithobates","AM","NEO",NA,"Terrestrial"," 55.50","21.11500","16.48000","21.63000",NA
"Rana_yavapaiensis","Rana_yavapaiensis","Lithobates","AM","MEX",NA,"Pond-dwelling"," 86.00","21.70000","20.35000",NA,"31.80000"
"Rana_zweifeli","Rana_zweifeli","Lithobates","AM","MEX",NA,"Pond-dwelling","100.10","33.80000","38.20000","67.00000","47.50000"
"Rana_weiningensis","Rana_weiningensis","Pseudorana","EA","AS","  313.0","Stream-dwelling"," 39.00","12.40000","11.70000","18.90000","20.50000"
"Rana_amurensis","Rana_amurensis","Rana","EA","AS"," 2225.0","Pond-dwelling"," 46.90","18.80000","18.70000","32.30000","28.90000"
"Rana_arvalis","Rana_arvalis","Rana","EA","EU"," 2299.5","Pond-dwelling"," 75.00","16.70000","17.10000","25.20000","22.00000"
"Rana_asiatica","Rana_asiatica","Rana","EA","AS"," 1150.0","Pond-dwelling"," 53.60","19.70000","18.20000","31.50000","26.10000"
"Rana_boylii","Rana_boylii","Rana","EA","NAM","  590.0","Stream-dwelling"," 81.00","15.00000","17.51667",NA,NA
"Rana_chaochiaoensis","Rana_chaochiaoensis","Rana","EA","AS"," 1500.0","Terrestrial"," 53.25","15.84000","16.50000","28.47000","31.39000"
"Rana_chensinensis","Rana_chensinensis","Rana","EA","AS"," 1082.5","Pond-dwelling"," 44.95","15.70000","15.90000","27.90000","26.00000"
"Rana_coreana","Rana_coreana","Rana","EA","AS",NA,"Pond-dwelling"," 41.00","12.59000","12.53000","25.18000","21.19000"
"Rana_dybowskii","Rana_dybowskii","Rana","EA","AS"," 1550.0","Pond-dwelling"," 63.49","18.82700","19.22040","34.00100","30.23560"
"Rana_hanluica","Rana_hanluica","Rana","EA","AS",NA,"Pond-dwelling"," 68.85","18.54000","18.62000","33.06000","38.43000"
"Rana_huanrensis","Rana_huanrensis","Rana","EA","AS","  450.0","Stream-dwelling"," 44.05","14.00000","15.30000","23.20000","24.20000"
"Rana_johnsi","Rana_johnsi","Rana","EA","AS"," 1550.0","Stream-dwelling"," 44.80","15.80000","14.50000","24.00000","27.90000"
"Rana_kukunoris","Rana_kukunoris","Rana","EA","AS"," 1132.5","Stream-dwelling"," 59.10","17.50000","18.20000","31.00000","26.80000"
"Rana_longicrus","Rana_longicrus","Rana","EA","AS","  400.0","Pond-dwelling"," 44.70","13.00000","11.60000",NA,"24.10000"
"Rana_macrocnemis","Rana_macrocnemis","Rana","EA","EU"," 2040.0","Pond-dwelling"," 75.00","17.53000","19.89000",NA,"31.34000"
"Rana_muscosa","Rana_muscosa","Rana","EA","NAM","  223.0","Stream-dwelling"," 89.00","17.70000","19.80000","29.50000","30.70000"
"Rana_omeimontis","Rana_omeimontis","Rana","EA","AS"," 1550.0","Terrestrial"," 63.40","17.57000","17.76000","33.05000","36.60000"
"Rana_ornativentris","Rana_ornativentris","Rana","EA","AS"," 1450.0","Pond-dwelling"," 53.90","17.78040","17.78040","28.55640","31.25040"
"Rana_pirica","Rana_pirica","Rana","EA","AS","  900.0","Pond-dwelling"," 63.50","16.65320","17.72760","26.32280","26.86000"
"Rana_sakuraii","Rana_sakuraii","Rana","EA","AS","  130.0","Stream-dwelling"," 58.00","16.51644","15.75552","26.22936","24.61800"
"Rana_sauteri","Rana_sauteri","Rana","EA","AS","  530.0","Stream-dwelling"," 47.25","15.10000","13.00000","21.50000","23.60000"
"Rana_shuchinae","Rana_shuchinae","Rana","EA","AS","  180.0","Pond-dwelling"," 42.20","11.30000","10.50000","17.00000","14.50000"
"Rana_sierrae","Rana_sierrae","Rana","EA","NAM","  225.0","Pond-dwelling"," 72.00","18.90000","21.70000","30.50000","32.10000"
"Rana_tagoi","Rana_tagoi","Rana","EA","AS"," 3636.0","Stream-dwelling"," 40.15","15.95028","15.77596","23.53320","23.22814"
"Rana_temporaria","Rana_temporaria","Rana","EA","EU"," 2132.5","Terrestrial","109.00","16.90000","15.50000","29.56667",NA
"Rana_zhengi","Rana_zhengi","Rana","EA","AS",NA,"Stream-dwelling"," 42.00","14.20000","14.10000","23.70000","25.40000"
"Rana_zhenhaiensis","Rana_zhenhaiensis","Rana","EA","AS","  659.5","Pond-dwelling"," 47.25","12.88000","13.08000","24.71000","24.90000"
